retrieved,url,volume,format,date1,date2,reo,ambiguous,other,percent,incomplete
2018-01-23 16:05:03.766141,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=146;num=138,429,OCR,"FRIDAY, 23 MAY 1980",1980-5-23,346,2756,26355,1.3,
2018-01-23 16:27:34.110540,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=188;num=180,429,OCR,"TUESDAY, 27 MAY 1980",1980-5-27,149,3997,39416,0.38,
2018-01-23 16:53:15.569692,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=243;num=235,429,OCR,"WEDNESDAY, 28 MAY 1980",1980-5-28,461,3995,39804,1.14,
2018-01-23 17:21:38.238804,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=299;num=291,429,OCR,"THURSDAY, 29 MAY 1980",1980-5-29,168,4345,40816,0.41,
2018-01-23 17:50:51.715085,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=358;num=350,429,OCR,"FRIDAY, 30 MAY 1980",1980-5-30,129,2391,24505,0.52,
2018-01-23 18:07:44.604137,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=394;num=386,429,OCR,"TUESDAY, 3 JUNE 1980",1980-6-3,252,4038,39270,0.64,
2018-01-23 18:39:24.927966,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=449;num=441,429,OCR,"WEDNESDAY, 4 JUNE 1980",1980-6-4,327,3891,37834,0.86,
2018-01-23 19:10:52.496031,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=503;num=495,429,OCR,"THURSDAY, 5 JUNE 1980",1980-6-5,320,4136,40240,0.79,
2018-01-23 19:38:34.262598,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=559;num=551,429,OCR,"FRIDAY, 6 JUNE 1980",1980-6-6,513,4201,43073,1.18,
2018-01-23 20:24:55.435082,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281380;page=ssd;view=plaintext;seq=647;num=639,429,OCR,"TUESDAY, 10 JUNE 1980",1980-6-10,230,3853,36664,0.62,
2018-02-20 23:22:53.090646,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381,430,OCR,12 June 1980,1980-6-12,365,3989,39032,0.93,
2018-01-23 15:24:10.569076,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=62;num=798,430,OCR,"FRIDAY, 13 JUNE 1980",1980-6-13,218,2506,23516,0.92,
2018-01-23 15:43:13.709320,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=98;num=834,430,OCR,"FRIDAY, 20 JUNE 1980",1980-6-20,389,4541,49335,0.78,
2018-01-23 16:34:06.819545,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=192;num=928,430,OCR,"TUESDAY, 24 JUNE 1980",1980-6-24,109,3740,38405,0.28,
2018-01-23 16:57:03.908910,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=246;num=982,430,OCR,"WEDNESDAY, 25 JUNE 1980",1980-6-25,267,4022,39859,0.67,
2018-01-23 17:25:33.792316,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=302;num=1038,430,OCR,"THURSDAY, 26 JUNE 1980",1980-6-26,243,4242,39837,0.61,
2018-01-23 17:56:24.712406,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=357;num=1093,430,OCR,"FRIDAY, 27 JUNE 1980",1980-6-27,207,2365,21988,0.93,
2018-01-23 18:11:47.204867,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=390;num=1126,430,OCR,"TUESDAY, 1 JULY 1980",1980-7-1,155,3224,34122,0.45,
2018-01-23 18:38:36.059472,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=438;num=1174,430,OCR,"WEDNESDAY, 2 JULY 1980",1980-7-2,168,4134,39911,0.42,
2018-01-23 19:09:34.321013,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=493;num=1229,430,OCR,"THURSDAY, 3 JULY 1980",1980-7-3,136,5526,55299,0.25,
2018-01-23 19:57:40.789673,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281381;page=ssd;view=plaintext;seq=591;num=1327,430,OCR,"FRIDAY, 4 JULY 1980",1980-7-4,493,5355,59476,0.82,
2018-02-20 23:22:50.300455,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382,431,OCR,9 July 1980,1980-7-9,111,4242,40860,0.27,
2018-01-23 15:25:07.879580,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=65;num=1549,431,OCR,"THURSDAY, 10 JULY 1980",1980-7-10,200,4341,41100,0.48,
2018-01-23 15:50:34.050293,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=122;num=1606,431,OCR,"FRIDAY, 11 JULY 1980",1980-7-11,365,2493,21327,1.68,
2018-01-23 16:09:07.327597,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=157;num=1641,431,OCR,"TUESDAY, 15 JULY 1980",1980-7-15,172,4656,44815,0.38,
2018-01-23 16:39:07.509543,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=218;num=1702,431,OCR,"WEDNESDAY, 16 JULY 1980",1980-7-16,146,4559,42955,0.34,
2018-01-23 17:09:12.592676,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=277;num=1761,431,OCR,"THURSDAY, 17 JULY 1980",1980-7-17,204,4729,43117,0.47,
2018-01-23 17:36:44.870696,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=337;num=1821,431,OCR,"FRIDAY, 18 JULY 1980",1980-7-18,269,4521,48345,0.55,
2018-01-23 18:19:13.685217,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=429;num=1913,431,OCR,"TUESDAY, 22 JULY 1980",1980-7-22,122,4162,40940,0.3,
2018-01-23 18:48:56.994844,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=485;num=1969,431,OCR,"WEDNESDAY, 23 JULY 1980",1980-7-23,215,4302,39268,0.54,
2018-01-23 19:19:04.848983,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=540;num=2024,431,OCR,"THURSDAY, 24 JULY 1980",1980-7-24,177,4308,40452,0.44,
2018-01-23 19:49:03.800704,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=596;num=2080,431,OCR,"FRIDAY, 25 JULY 1980",1980-7-25,59,2339,22466,0.26,
2018-01-23 20:06:46.343699,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281382;page=ssd;view=plaintext;seq=629;num=2113,431,OCR,"TUESDAY, 29 JULY 1980",1980-7-29,216,4205,39894,0.54,
2018-02-20 23:22:51.131517,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281383,432,OCR,31 July 1980,1980-7-31,229,4040,40104,0.57,
2018-01-23 15:20:51.219770,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281383;page=ssd;view=plaintext;seq=64;num=2278,432,OCR,"FRIDAY, 1 AUGUST 1980",1980-8-1,316,3956,43221,0.73,
2018-01-23 15:57:39.945587,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281383;page=ssd;view=plaintext;seq=146;num=2360,432,OCR,"TUESDAY, 5 AUGUST 1980",1980-8-5,236,4418,39932,0.59,
2018-01-23 16:26:35.640179,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3281383;page=ssd;view=plaintext;seq=202;num=2416,432,OCR,"WEDNESDAY, 6 AUGUST 1980",1980-8-6,139,4596,42704,0.32,
