url,volume,date,reo,ambiguous,other,percent,retrieved,format,incomplete
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=213;num=167,A,"Friday, 30th June, 1854",11,859,8279,0.13,2018-01-17 17:22:39.905963,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=222;num=176,A,"Monday, 3rd July, 1854",1,200,1958,0.05,2018-01-17 17:22:58.051966,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=224;num=178,A,"Tuesday, 4th July, 1854",1,23,276,0.36,2018-01-17 17:23:02.406245,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=225;num=179,A,"Tuesday, 4th Jidy, 1854",0,10,277,0,2018-01-17 17:23:04.286383,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=225;num=179,A,"Wednesday, 5th July, 1854",3,210,1872,0.16,2018-01-17 17:23:04.286383,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=227;num=181,A,"Thursday, 6th July, 1854",0,6,126,0,2018-01-17 17:23:08.420231,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=228;num=182,A,"Thursday, 6th July, 1854",1,22,247,0.4,2018-01-17 17:23:10.282432,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=228;num=182,A,"Friday, 7th July, 1854",0,4,48,0,2018-01-17 17:23:10.282432,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=228;num=182,A,"Friday, 7th July, 1854",19,681,5387,0.35,2018-01-17 17:23:10.282432,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=234;num=188,A,"Tuesday, llth July, 1854",0,38,331,0,2018-01-17 17:23:34.163335,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=235;num=189,A,"Tuesday, llth July, 1854",51,3272,28302,0.18,2018-01-17 17:23:36.315376,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=265;num=219,A,"Thursday, 13th July, 1854",1,43,521,0.19,2018-01-17 17:24:48.197017,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=266;num=220,A,"Thursday, 13th July, 1854",10,351,3221,0.31,2018-01-17 17:24:50.448812,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=270;num=224,A,"Friday, 14th July, 1854",7,373,4164,0.17,2018-01-17 17:25:33.476975,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=274;num=228,A,"Monday, 17th July, 1854",0,55,561,0,2018-01-17 17:25:41.887938,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=275;num=229,A,"Tuesday, 18th July, 1854",2,203,2210,0.09,2018-01-17 17:25:43.746449,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=278;num=232,A,"Tuesday, 18th July, 1854",2,294,3824,0.05,2018-01-17 17:25:49.823022,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=282;num=236,A,"Wednesday, 19th July, 1854",0,107,999,0,2018-01-17 17:25:57.591422,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=284;num=238,A,"Thursday, 20th July, 1854",1,121,1619,0.06,2018-01-17 17:26:01.515822,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=286;num=240,A,"Friday, 21st July, 1854",0,39,455,0,2018-01-17 17:26:06.124222,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=287;num=241,A,"Monday, 24th July, 1854",2,429,4075,0.05,2018-01-17 17:26:09.036132,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=292;num=246,A,"Tuesday, 25th July, 1854",0,17,233,0,2018-01-17 17:26:21.007938,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=292;num=246,A,"Tuesday, 25th July, 1854",3,138,1525,0.2,2018-01-17 17:26:21.007938,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=295;num=249,A,"Thursday, 27th July, 1854",0,77,870,0,2018-01-17 17:26:28.980657,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=296;num=250,A,"Monday, 31st July, 1854",0,17,276,0,2018-01-17 17:26:31.235290,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=297;num=251,A,"Tuesday, 1st August, 1854",0,2,106,0,2018-01-17 17:26:33.073947,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=297;num=251,A,"Tuesday, 1st August, 1854",0,31,426,0,2018-01-17 17:26:33.073947,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=298;num=252,A,"Wednesday, 2nd August, 1854",0,15,131,0,2018-01-17 17:26:34.945518,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=298;num=252,A,"Thursday, 3rd August, 1854",0,40,426,0,2018-01-17 17:26:34.945518,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=299;num=253,A,"Thursday, 3rd August, 1854",11,1465,13109,0.08,2018-01-17 17:26:37.001809,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=313;num=267,A,"Friday, 4th August, 1854",1,70,728,0.14,2018-01-17 17:27:38.148630,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=314;num=268,A,"Saturday, 5th August, 1854",1,284,3336,0.03,2018-01-17 17:27:40.079062,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=318;num=272,A,"Saturday, 5th August, 1854",6,1014,8410,0.07,2018-01-17 17:27:47.392315,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=328;num=282,A,"Tuesday, 8th August, 1854",0,5,69,0,2018-01-17 17:28:10.115730,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=328;num=282,A,"Tuesday, 8th August, 1854",0,35,339,0,2018-01-17 17:28:10.115730,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=329;num=283,A,"Wednesday, 9th Attgust, 1854",14,720,6330,0.22,2018-01-17 17:28:11.933986,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=336;num=290,A,"Thursday, 10th Augiist, 1854",4,690,6314,0.06,2018-01-17 17:28:25.113550,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=343;num=297,A,"Monday, 14th August, 1854",0,14,200,0,2018-01-17 17:28:40.110707,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=343;num=297,A,"Tuesday, 15th August, 1854",28,3381,33742,0.08,2018-01-17 17:28:40.110707,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=380;num=334,A,"Thursday, 17th August, 1854",5,526,5289,0.09,2018-01-17 17:30:45.131485,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=391;num=345,A,"Thursday, 31st August, 1854",2,250,2785,0.07,2018-01-17 17:31:07.567660,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=394;num=348,A,"Thursday, 3lst August, 1854",0,14,131,0,2018-01-17 17:31:14.213297,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=394;num=348,A,"Friday, 1st September, 1854",0,65,619,0,2018-01-17 17:31:14.213297,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=395;num=349,A,"Friday, 1st September, 1854",18,1133,10660,0.17,2018-01-17 17:31:16.053285,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=408;num=362,A,"Monday, 4th September, 1854",1,155,2000,0.05,2018-01-17 17:31:58.386015,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=410;num=364,A,"Monday, 4th September, 1854",2,448,5309,0.04,2018-01-17 17:32:02.097612,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=417;num=371,A,"Tuesday, 5th September, 1354",0,14,175,0,2018-01-17 17:32:16.619270,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=417;num=371,A,"Tuesday, 5th September, 1854",4,704,7435,0.05,2018-01-17 17:32:16.619270,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=427;num=381,A,"Thursday, 7th September, 1854",1,168,1964,0.05,2018-01-17 17:32:38.199730,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=430;num=384,A,"Friday, 8th September, 1854",19,1170,11817,0.16,2018-01-17 17:32:44.652173,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=444;num=398,A,"Saturday, 9th September, 1854",0,17,189,0,2018-01-17 17:33:14.185376,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=444;num=398,A,"Saturday, 9th September, 18S4",8,753,6086,0.13,2018-01-17 17:33:14.185376,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=452;num=406,A,"Monday, llth September, 1854",0,161,2189,0,2018-01-17 17:33:51.150188,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=454;num=408,A,"Hominy, llth September, 1864",11,447,4836,0.23,2018-01-17 17:33:55.557939,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=461;num=415,A,"Tuesday, 12th September, 1854",0,29,513,0,2018-01-17 17:34:09.388161,OCR,
