Date retreived,Hansard document url,Wā,Title,Te Reo length,Ambiguous length,Other length,Is Māori (%),Awaiting authorised reo
2018-01-10 16:26:35.275380,/en/pb/hansard-debates/rhr/document/48HansD_20080305/volume-645-week-68-wednesday-5-march-2008,05-Mar-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2008  ",317,3033,49201,0.6401712508582738,
2018-01-10 16:26:37.659011,/en/pb/hansard-debates/rhr/document/48HansD_20080306/volume-645-week-68-thursday-6-march-2008,06-Mar-2008  ,"Parliamentary Debates (Hansard) for Thursday, 6 March 2008  ",144,1798,27864,0.5141388174807198,
2018-01-10 16:26:39.685164,/en/pb/hansard-debates/rhr/document/48HansD_20080311/volume-645-week-69-tuesday-11-march-2008,11-Mar-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 11 March 2008  ",420,2701,45647,0.911715544750038,
2018-01-10 16:26:42.126555,/en/pb/hansard-debates/rhr/document/48HansD_20080312/volume-645-week-66-wednesday-12-march-2008,12-Mar-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 12 March 2008  ",446,3150,48532,0.9106129282535016,
2018-01-10 16:26:44.506596,/en/pb/hansard-debates/rhr/document/48HansD_20080313/volume-645-week-69-thursday-13-march-2008,13-Mar-2008  ,"Parliamentary Debates (Hansard) for Thursday, 13 March 2008  ",157,1885,30193,0.5172981878088962,
2018-01-10 16:26:46.362760,/en/pb/hansard-debates/rhr/document/48HansD_20080318/volume-646-week-70-tuesday-18-march-2008,18-Mar-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 18 March 2008  ",214,2733,50754,0.41987129179092764,
2018-01-10 16:26:48.838360,/en/pb/hansard-debates/rhr/document/48HansD_20080319/volume-646-week-70-wednesday-19-march-2008,19-Mar-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2008  ",156,3014,49324,0.3152789005658852,
2018-01-10 16:26:51.323206,/en/pb/hansard-debates/rhr/document/48HansD_20080320/volume-646-week-70-thursday-20-march-2008,20-Mar-2008  ,"Parliamentary Debates (Hansard) for Thursday, 20 March 2008  ",42,1549,28229,0.14856213080541897,
2018-01-10 16:26:53.142380,/en/pb/hansard-debates/rhr/document/48HansD_20080401/volume-646-week-71-tuesday-1-april-2008,01-Apr-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2008  ",143,2850,46963,0.3035706704029211,
2018-01-10 16:26:55.563499,/en/pb/hansard-debates/rhr/document/48HansD_20080402/volume-646-week-71-wednesday-2-april-2008,02-Apr-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 2 April 2008  ",2225,3805,49396,4.310261327754208,
2018-01-10 16:26:58.078316,/en/pb/hansard-debates/rhr/document/48HansD_20080403/volume-646-week-71-thursday-3-april-2008,03-Apr-2008  ,"Parliamentary Debates (Hansard) for Thursday, 3 April 2008  ",127,1659,30959,0.40854403911728754,
2018-01-10 16:27:00.008505,/en/pb/hansard-debates/rhr/document/48HansD_20080408/volume-646-week-72-tuesday-8-april-2008,08-Apr-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 8 April 2008  ",448,2926,49888,0.8900190718372537,
2018-01-10 16:27:02.606028,/en/pb/hansard-debates/rhr/document/48HansD_20080409/volume-646-week-72-wednesday-9-april-2008,09-Apr-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 9 April 2008  ",453,3285,50494,0.8891593224331168,
2018-01-10 16:27:05.219623,/en/pb/hansard-debates/rhr/document/48HansD_20080410/volume-646-week-72-thursday-10-april-2008,10-Apr-2008  ,"Parliamentary Debates (Hansard) for Thursday, 10 April 2008  ",185,1905,30834,0.5964086527612109,
2018-01-10 16:27:07.130682,/en/pb/hansard-debates/rhr/document/48HansD_20080415/volume-646-week-73-tuesday-15-april-2008,15-Apr-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 15 April 2008  ",992,2933,48265,2.0139269545445315,
2018-01-10 16:27:09.560447,/en/pb/hansard-debates/rhr/document/48HansD_20080416/volume-646-week-73-wednesday-16-april-2008,16-Apr-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 16 April 2008  ",655,2965,48597,1.3298952326809064,
2018-01-10 16:27:11.942697,/en/pb/hansard-debates/rhr/document/48HansD_20080417/volume-646-week-73-thursday-17-april-2008,17-Apr-2008  ,"Parliamentary Debates (Hansard) for Thursday, 17 April 2008  ",1188,1604,26796,4.245283018867925,
2018-01-10 16:27:13.870965,/en/pb/hansard-debates/rhr/document/48HansD_20080513/volume-647-week-74-tuesday-13-may-2008,13-May-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 13 May 2008  ",815,2983,50303,1.5943503266950976,
2018-01-10 16:27:16.379073,/en/pb/hansard-debates/rhr/document/48HansD_20080514/volume-647-week-74-wednesday-14-may-2008,14-May-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 14 May 2008  ",2062,3184,46572,4.239832216145084,
2018-01-10 16:27:18.674429,/en/pb/hansard-debates/rhr/document/48HansD_20080515/volume-647-week-74-thursday-15-may-2008,15-May-2008  ,"Parliamentary Debates (Hansard) for Thursday, 15 May 2008  ",793,1650,28210,2.7341999103541013,
2018-01-10 16:27:20.618366,/en/pb/hansard-debates/rhr/document/48HansD_20080520/volume-647-week-75-tuesday-20-may-2008,20-May-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 20 May 2008  ",192,2642,47781,0.4002251266337315,
2018-01-10 16:27:22.930348,/en/pb/hansard-debates/rhr/document/48HansD_20080521/volume-647-week-75-wednesday-21-may-2008,21-May-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 21 May 2008  ",189,3068,51641,0.36465367547752264,
2018-01-10 16:27:25.389964,/en/pb/hansard-debates/rhr/document/48HansD_20080522/volume-647-week-75-thursday-22-may-2008,22-May-2008  ,"Parliamentary Debates (Hansard) for Thursday, 22 May 2008  ",163,3211,51253,0.3170219386961257,
