Date retreived,Hansard document url,wā,title,Te Reo length,Ambiguous length,Other length,is Māori (%),awaiting authorised reo
2017-12-20 15:52:26.914623,/en/pb/hansard-debates/rhr/document/51HansD_20150528/volume-705-week-17-thursday-28-may-2015,28-May-2015  ,"Parliamentary Debates (Hansard) for Thursday, 28 May 2015  ",115,2149,33757,0.33951346244685876,
2017-12-20 15:52:28.917969,/en/pb/hansard-debates/rhr/document/51HansD_20150602/volume-706-week-18-tuesday-2-june-2015,02-Jun-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 2 June 2015  ",111,3085,52159,0.21235890568203558,
2017-12-20 15:52:31.443698,/en/pb/hansard-debates/rhr/document/51HansD_20150603/volume-706-week-18-wednesday-3-june-2015,03-Jun-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 3 June 2015  ",204,3191,53273,0.3814724086990669,
2017-12-20 15:52:34.056394,/en/pb/hansard-debates/rhr/document/51HansD_20150604/volume-706-week-18-thursday-4-june-2015,04-Jun-2015  ,"Parliamentary Debates (Hansard) for Thursday, 4 June 2015  ",201,1936,31952,0.6251360681740429,
2017-12-20 15:52:36.263309,/en/pb/hansard-debates/rhr/document/51HansD_20150616/volume-706-week-19-tuesday-16-june-2015,16-Jun-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 16 June 2015  ",259,2847,50875,0.5065123010130246,
2017-12-20 15:52:38.812612,/en/pb/hansard-debates/rhr/document/51HansD_20150617/volume-706-week-19-wednesday-17-june-2015,17-Jun-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 17 June 2015  ",199,3123,51663,0.3837106166364583,
2017-12-20 15:52:41.288479,/en/pb/hansard-debates/rhr/document/51HansD_20150618/volume-706-week-19-thursday-18-june-2015,18-Jun-2015  ,"Parliamentary Debates (Hansard) for Thursday, 18 June 2015  ",119,1970,30628,0.38702962890688525,
2017-12-20 15:52:43.241663,/en/pb/hansard-debates/rhr/document/51HansD_20150623/volume-706-week-20-tuesday-23-june-2015,23-Jun-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 23 June 2015  ",184,3113,50884,0.360303908514138,
2017-12-20 15:52:46.416815,/en/pb/hansard-debates/rhr/document/51HansD_20150624/volume-706-week-20-wednesday-24-june-2015,24-Jun-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 24 June 2015  ",248,3595,53207,0.463941633149378,
2017-12-20 15:52:49.063231,/en/pb/hansard-debates/rhr/document/51HansD_20150625/volume-706-week-20-thursday-25-june-2015,25-Jun-2015  ,"Parliamentary Debates (Hansard) for Thursday, 25 June 2015  ",54,1965,33412,0.16135779597203131,
2017-12-20 15:52:51.011623,/en/pb/hansard-debates/rhr/document/51HansD_20150630/volume-706-week-21-tuesday-30-june-2015,30-Jun-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 30 June 2015  ",34,3093,51495,0.06598226241533893,
