retrieved,url,name,period,session,format,downloaded,processed
2018-02-20 23:20:59.788161,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788600,160,6 September 1912 – 8 October 1912,18th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:01.648269,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2889978,161,9 October 1912 – 7 November 1912,18th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:00.549204,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788626,162,26 June 1913 – 23 July 1913,18th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:04.155416,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788634,163,24 July 1913 – 20 August 1913,18th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:52.785834,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788642,164,21 August 1913 – 18 September 1913,18th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:57.703043,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788659,165,19 September 1913 – 17 October 1913,18th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:06.053523,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788667,166,20 October 1913 – 14 November 1913,18th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:06.857582,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2889983,167,17 November 1913 – 15 December 1913,18th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:00.911238,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788683,168,25 June 1914 – 21 July 1914,18th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:04.144411,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788691,169,22 July 1914 – 15 September 1914,18th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:01.763272,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788709,170,16 September 1914 – 13 October 1914,18th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:04.843458,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106015180141,171,14 October 1914 – 5 November 1914,18th Parliament: 4th session,OCR,True,True
2018-02-20 23:21:12.960124,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788717,172,24 June 1915 – 4 August 1915,19th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:00.534208,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2889989,173,19 August 1915 – 17 September 1915,19th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:05.479489,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019788733,174,20 September 1915 – 12 October 1915,19th Parliament: 1st session,OCR,True,True
